rowid,pl_hostname,pl_letter,pl_pnum
2880,Kepler-770,b,3
2881,Kepler-770,c,3
2882,Kepler-770,d,3
2883,Kepler-771,b,1
2884,Kepler-772,b,1
2885,Kepler-773,b,1
2886,Kepler-774,b,1
2887,Kepler-775,b,1
2888,Kepler-776,b,1
2889,Kepler-777,b,1
2890,Kepler-778,b,1
2891,Kepler-779,b,1
2892,Kepler-78,b,1
2893,Kepler-780,b,1
2894,Kepler-781,b,1
2895,Kepler-782,b,1
2896,Kepler-783,b,1
2897,Kepler-784,b,1
2898,Kepler-785,b,1
2899,Kepler-786,b,1
2900,Kepler-787,b,1
2901,Kepler-788,b,1
2902,Kepler-789,b,1
2903,Kepler-79,b,4
2904,Kepler-79,c,4
2905,Kepler-79,d,4
2906,Kepler-79,e,4
2907,Kepler-790,b,1
2908,Kepler-791,b,1
2909,Kepler-792,b,1
2910,Kepler-793,b,1
2911,Kepler-794,b,1
2912,Kepler-795,b,1
2913,Kepler-796,b,1
2914,Kepler-797,b,1
2915,Kepler-798,b,1
2916,Kepler-799,b,1
2917,Kepler-8,b,1
2918,Kepler-80,b,5
2919,Kepler-80,c,5
2920,Kepler-80,d,5
2921,Kepler-80,e,5
2922,Kepler-80,f,5
2923,Kepler-800,b,1
2924,Kepler-801,b,1
2925,Kepler-802,b,1
2926,Kepler-803,b,1
2927,Kepler-804,b,2
2928,Kepler-804,c,2
2929,Kepler-805,b,1
2930,Kepler-806,b,1
2931,Kepler-807,b,1
2932,Kepler-808,b,1
2933,Kepler-809,b,1
2934,Kepler-81,b,3
2935,Kepler-81,c,3
2936,Kepler-81,d,3
2937,Kepler-810,b,1
2938,Kepler-811,b,1
2939,Kepler-812,b,1
2940,Kepler-813,b,1
2941,Kepler-814,b,1
2942,Kepler-815,b,1
2943,Kepler-816,b,1
2944,Kepler-817,b,1
2945,Kepler-818,b,1
2946,Kepler-819,b,1
2947,Kepler-82,b,4
2948,Kepler-82,c,4
2949,Kepler-82,d,4
2950,Kepler-82,e,4
2951,Kepler-820,b,1
2952,Kepler-821,b,1
2953,Kepler-822,b,1
2954,Kepler-823,b,1
2955,Kepler-824,b,1
2956,Kepler-825,b,2
2957,Kepler-825,c,2
2958,Kepler-826,b,1
2959,Kepler-827,b,1
2960,Kepler-828,b,1
2961,Kepler-829,b,1
2962,Kepler-83,b,3
2963,Kepler-83,c,3
2964,Kepler-83,d,3
2965,Kepler-830,b,1
2966,Kepler-831,b,1
2967,Kepler-832,b,1
2968,Kepler-833,b,1
