full_name,name,prefix,diameter,BV,UB,IR,spec_B,spec_T
"   397 Vienna (1894 BM)",Vienna,,49.032,.823,.362,,K,S
"   398 Admete (1894 BN)",Admete,,49.771,,,,C,
"   399 Persephone (1895 BP)",Persephone,,39.566,,,,X,
"   400 Ducrosa (1895 BU)",Ducrosa,,36.001,,,,,
"   401 Ottilia (1895 BT)",Ottilia,,87.803,,,,,
"   402 Chloe (1895 BW)",Chloe,,55.421,.808,.402,,K,S
"   403 Cyane (1895 BX)",Cyane,,53.574,,,,S,S
"   404 Arsinoe (1895 BY)",Arsinoe,,94.970,.675,.333,,Ch,C
"   405 Thia (1895 BZ)",Thia,,108.894,.698,.388,,Ch,C
"   406 Erna (1895 CB)",Erna,,46.266,.738,.273,,,P
"   407 Arachne (1895 CC)",Arachne,,95.07,.698,.376,,,C
"   408 Fama (1895 CD)",Fama,,35.620,,,,,
"   409 Aspasia (1895 CE)",Aspasia,,171.012,.719,.323,,Xc,CX
"   410 Chloris (1896 CH)",Chloris,,116.245,.748,.394,,Ch,C
"   411 Xanthe (1896 CJ)",Xanthe,,76.53,,,,,
"   412 Elisabetha (1896 CK)",Elisabetha,,96.056,,,,C,
"   413 Edburga (1896 CL)",Edburga,,34.242,.680,.220,,X,M
"   414 Liriope (1896 CN)",Liriope,,88.760,.750,.384,,Cg,C
"   415 Palatia (1896 CO)",Palatia,,83.560,.714,.231,,,DP
"   416 Vaticana (1896 CS)",Vaticana,,85.47,.892,.459,,Sl,S
"   417 Suevia (1896 CT)",Suevia,,54.874,.755,.357,,Xk,X
"   418 Alemannia (1896 CV)",Alemannia,,40.330,.703,.225,,,M
"   419 Aurelia (1896 CW)",Aurelia,,148.701,.641,.230,,,F
"   420 Bertholda (1896 CY)",Bertholda,,138.699,.691,.229,,,P
"   421 Zahringia (1896 CZ)",Zahringia,,14.119,.848,.452,,,S
"   422 Berolina (1896 DA)",Berolina,,10.714,.715,.292,,,DX
"   423 Diotima (1896 DB)",Diotima,,175.859,.668,.308,,C,C
"   424 Gratia (1896 DF)",Gratia,,102.565,,,,,
"   425 Cornelia (1896 DC)",Cornelia,,67.925,,,,C,
"   426 Hippo (1897 DH)",Hippo,,137.562,.710,.345,,,F
"   427 Galene (1897 DJ)",Galene,,32.193,,,,,
"   428 Monachia (1897 DK)",Monachia,,20.184,,,,,
"   429 Lotis (1897 DL)",Lotis,,69.62,.741,.346,,,C
"   430 Hybris (1897 DM)",Hybris,,31.702,,,,,
"   431 Nephele (1897 DN)",Nephele,,101.900,.643,.334,,B,B
"   432 Pythia (1897 DO)",Pythia,,46.90,.870,.440,,S,S
"   433 Eros (1898 DQ)",Eros,,16.84,.921,.531,,S,S
