Display Name,BayerFlamsteed,Gliese,Proper Name,Spectral Class
Gl 194 B,,Gl 194 B,,G0 III
Gl 401,,Gl 401,,M1
Gl 401 B,,Gl 401 B,,DQ9
Gl 428 B,,Gl 428 B,,M0 Ve
GJ 1214,,GJ 1214,,m
Gl 897,,Gl 897,,M3.5 J
Gl 897 B,,Gl 897 B,,
Capella,13 Alpha Aurigae,Gl 194,Capella,M1: comp
36 Ursae Majoris,36 Ursae Majoris,Gl 395,,F8V
Gl 428,,Gl 428,,K7V+...
BD-09°3413,,Gl 454,,K0IV
Gl 620.1,,Gl 620.1,,G3/G5V
Hip 95326,,,,
NN 3106,,NN 3106,,B5
NN 3131,,NN 3131,,M3
NN 3224,,NN 3224,,m+
NN 3309,,NN 3309,,M2.5
GJ 1077,,GJ 1077,,M1.5 V
Gl 422,,Gl 422,,m
NN 3981,,NN 3981,,m
NN 4368,,NN 4368,,M1
BD-03°1110,,Gl 204,,K5V
NN 3722,,NN 3722,,
Gl 525,,Gl 525,,
Gl 707,,Gl 707,,K7V
BD-21°5081,,Gl 722,,G5V
Gl 195,,Gl 195,,dM2
Gl 195 B,,Gl 195 B,,M4 :
NN 3506,,NN 3506,,M3
Gl 592,,Gl 592,,M4
Gl 46,,Gl 46,,
Gl 114.1,,Gl 114.1,,M
Gl 167,,Gl 167,,K5V
NN 3403,,NN 3403,,K7V
NN 3452,,NN 3452,,M0
Hip 67593,,,,
Gl 597,,Gl 597,,M4
BD+02°4076,,Gl 775,,K4V
BD+27°4120,,Gl 835,,
BD+57°2735,,Gl 895,,M2
NN 3036,,NN 3036,,m
GJ 1031,,GJ 1031,,dM5
