CountyId,AccommodationFood,AdministrativeSupportWaste,AgricultureForestryFishingHunting,AllSectors,ArtsEntertainmentRecreation,BDG25,Construction,Education,FinanceInsurance,GDPPerCapita,HealthcareSocialAssistance,Income,IndustriesNotClassified,Information,Management,Manufacturing,MiningQuarryingOilGas,OtherServices,PopulationDensity,Poverty,ProfessionalScientificTechnical,RealEstate,RetailTrade,SubstanceAbuse,TransportationWarehousing,Unemployment,Utilities,WholesaleTrade
06013,620422.0,936370.0,1387.0,20698756.0,181667.0,187160.0,1719995.0,270190.0,2486854.0,38219.0,3493550.0,83036,2714.0,1064386.0,2580167.0,1165778.0,8638.0,539691.0,1317.9,10.2,2137483.0,405722.0,1409542.0,12.1,319528.0,4.7,NA,821195.0
24035,39228.0,17394.0,346.0,414495.0,5819.0,7318.0,46536.0,5485.0,17676.0,38108.0,38235.0,83914,NA,7982.0,3241.0,51522.0,NA,17265.0,109.0,7.2,34034.0,6254.0,51787.0,16.1,7815.0,3.8,NA,57656.0
08047,98198.0,339.0,NA,183738.0,74293.0,870.0,1335.0,NA,NA,38022.0,2694.0,67389,NA,NA,NA,1510.0,NA,1025.0,31.7,8.0,1666.0,NA,639.0,22.1,NA,2.6,NA,NA
24041,49321.0,57729.0,1153.0,661044.0,11442.0,5136.0,39688.0,11446.0,42864.0,38022.0,160601.0,62018,NA,11243.0,19927.0,40733.0,NA,22463.0,125.6,10.4,71899.0,6934.0,69508.0,14.1,12334.0,4.0,NA,31170.0
17097,465477.0,861413.0,2755.0,23644292.0,331900.0,115560.0,745459.0,209546.0,1423876.0,38018.0,1710879.0,82160,1007.0,355643.0,4461158.0,3445005.0,NA,327055.0,1439.7,9.0,3346868.0,205173.0,1070637.0,14.1,257895.0,4.8,71341.0,4344199.0
08013,334437.0,242190.0,1581.0,9668107.0,60038.0,63290.0,259831.0,76344.0,331460.0,38011.0,982210.0,72392,950.0,668869.0,313105.0,874108.0,9634.0,244413.0,392.3,12.3,3452525.0,102138.0,541340.0,16.1,48249.0,2.9,18661.0,1106024.0
38007,6787.0,1100.0,NA,22288.0,NA,150.0,1822.0,NA,NA,37972.0,NA,76913,NA,NA,NA,NA,6873.0,1616.0,0.8,7.1,158.0,NA,473.0,0.0,2565.0,2.5,NA,NA
34037,80837.0,44703.0,772.0,1281379.0,11900.0,23579.0,110489.0,21840.0,57877.0,37949.0,268223.0,84431,154.0,23212.0,NA,120338.0,3789.0,54084.0,276.6,5.6,72928.0,13517.0,159692.0,12.1,30692.0,5.0,14615.0,74909.0
48085,750667.0,1159311.0,375.0,22488205.0,103902.0,179668.0,1051911.0,119634.0,3172373.0,37839.0,2298032.0,86823,645.0,1797377.0,2662237.0,1445810.0,70209.0,389890.0,580.1,6.6,3728550.0,408295.0,1402726.0,8.1,224324.0,3.8,45044.0,1656893.0
53055,27642.0,7089.0,357.0,167621.0,4317.0,3365.0,28105.0,2518.0,7411.0,37719.0,10831.0,59859,NA,2505.0,NA,9751.0,NA,7088.0,80.5,11.5,13955.0,3990.0,22559.0,18.1,5197.0,3.9,8831.0,1846.0
